Election_Date,Circoscrizione,Provincia,Comune
1953-06-07,CUNEO-ALESSANDRIA-ASTI,ASTI,ROCCA D'ARAZZO
1953-06-07,BARI-FOGGIA,BARI,CELLAMARE
1953-06-07,NAPOLI-CASERTA,CASERTA,ALVIGNANO
1953-06-07,CUNEO-ALESSANDRIA-ASTI,ASTI,AGLIANO
1953-06-07,CUNEO-ALESSANDRIA-ASTI,ASTI,ALBUGNANO
1953-06-07,CUNEO-ALESSANDRIA-ASTI,ASTI,ANTIGNANO
1953-06-07,BARI-FOGGIA,BARI,CAPURSO
1953-06-07,BARI-FOGGIA,BARI,CASAMASSIMA
1953-06-07,BARI-FOGGIA,BARI,CASSANO DELLE MURGE
1953-06-07,CAGLIARI-SASSARI-NUORO-ORISTANO,CAGLIARI,BARRALI
1953-06-07,CATANZARO-COSENZA-REGGIO CALABRIA,COSENZA,CARPANZANO
1953-06-07,BRESCIA-BERGAMO,BERGAMO,FINO DEL MONTE
1953-06-07,BARI-FOGGIA,BARI,CONVERSANO
1953-06-07,BARI-FOGGIA,BARI,CORATO
1953-06-07,BARI-FOGGIA,BARI,GIOIA DEL COLLE
1953-06-07,BARI-FOGGIA,BARI,GIOVINAZZO
1953-06-07,BARI-FOGGIA,BARI,GRAVINA IN PUGLIA
1953-06-07,BARI-FOGGIA,BARI,GRUMO APPULA
1953-06-07,BRESCIA-BERGAMO,BERGAMO,MOZZO
1953-06-07,BRESCIA-BERGAMO,BERGAMO,NEMBRO
1953-06-07,BRESCIA-BERGAMO,BERGAMO,NOSSA
1953-06-07,BRESCIA-BERGAMO,BERGAMO,OLMO AL BREMBO
1953-06-07,BRESCIA-BERGAMO,BERGAMO,OLTRE IL COLLE
1953-06-07,TRENTO-BOLZANO,BOLZANO,SESTO
1953-06-07,CUNEO-ALESSANDRIA-ASTI,CUNEO,BELLINO
1953-06-07,CAMPOBASSO-ISERNIA,CAMPOBASSO,SANT'ANGELO IN GROTTE
1953-06-07,CAMPOBASSO-ISERNIA,CAMPOBASSO,SANT'ANGELO LIMOSANO
1953-06-07,CAMPOBASSO-ISERNIA,CAMPOBASSO,SANT'ELENA SANNITA
1953-06-07,CAMPOBASSO-ISERNIA,CAMPOBASSO,SANT'ELIA A PIANISI
