Election_Date,Comune,Provincia,Regione,Circoscrizione
1987-06-14,ABANO TERME,PADOVA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ABBADIA CERRETO,MILANO,LOMBARDIA,MILANO-PAVIA
1987-06-14,ABBADIA LARIANA,COMO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ABBADIA SAN SALVATORE,SIENA,TOSCANA,SIENA-AREZZO-GROSSETO
1987-06-14,ABBASANTA,ORISTANO,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ABBATEGGIO,PESCARA,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ABBIATEGRASSO,MILANO,LOMBARDIA,MILANO-PAVIA
1987-06-14,ABETONE,PISTOIA,TOSCANA,FIRENZE-PISTOIA
1987-06-14,ABRIOLA,POTENZA,BASILICATA,POTENZA-MATERA
1987-06-14,ACATE,RAGUSA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,ACCADIA,FOGGIA,PUGLIA,BARI-FOGGIA
1987-06-14,ACCEGLIO,CUNEO,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,ACCETTURA,MATERA,BASILICATA,POTENZA-MATERA
1987-06-14,ACCIANO,L'AQUILA,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ACCUMOLI,RIETI,LAZIO,PERUGIA-TERNI-RIETI
1987-06-14,ACERENZA,POTENZA,BASILICATA,POTENZA-MATERA
1987-06-14,ACERNO,SALERNO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ACERRA,NAPOLI,CAMPANIA,NAPOLI-CASERTA
1987-06-14,ACI BONACCORSI,CATANIA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,ACI CASTELLO,CATANIA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,ACI CATENA,CATANIA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,ACI SANT'ANTONIO,CATANIA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,ACIREALE,CATANIA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
