Election_Date,Circoscrizione,Regione,Provincia,Comune,Collegio uninominale
2001-05-13,ABRUZZO,ABRUZZO,NA,MANOPPELLO,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,MARTINSICURO,Giulianova
2001-05-13,ABRUZZO,ABRUZZO,NA,MASSA D'ALBE,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,MIGLIANICO,Chieti
2001-05-13,ABRUZZO,ABRUZZO,NA,MOLINA ATERNO,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTAZZOLI,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTEBELLO DI BERTONA,Montesilvano
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTEBELLO SUL SANGRO,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTEFERRANTE,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTEFINO,Montesilvano
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTELAPIANO,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTENERODOMO,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTEODORISIO,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTEREALE,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTESILVANO,Montesilvano
2001-05-13,ABRUZZO,ABRUZZO,NA,MONTORIO AL VOMANO,Teramo
2001-05-13,ABRUZZO,ABRUZZO,NA,MORINO,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,MORRO D'ORO,Giulianova
2001-05-13,ABRUZZO,ABRUZZO,NA,MOSCIANO SANT'ANGELO,Giulianova
2001-05-13,ABRUZZO,ABRUZZO,NA,MOSCUFO,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,MOZZAGROGNA,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,NAVELLI,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,NERETO,Giulianova
2001-05-13,ABRUZZO,ABRUZZO,NA,NOCCIANO,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,NOTARESCO,Giulianova
2001-05-13,ABRUZZO,ABRUZZO,NA,OCRE,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,OFENA,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,OPI,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,ORICOLA,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,ORSOGNA,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,ORTONA,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,ORTONA DEI MARSI,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,ORTUCCHIO,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,OVINDOLI,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,PACENTRO,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,PAGLIETA,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,PALENA,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,PALMOLI,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,PALOMBARO,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,PENNA SANT'ANDREA,Teramo
2001-05-13,ABRUZZO,ABRUZZO,NA,PENNADOMO,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,PENNAPIEDIMONTE,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,PENNE,Montesilvano
2001-05-13,ABRUZZO,ABRUZZO,NA,PERANO,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,PERETO,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,PESCARA,Pescara
2001-05-13,ABRUZZO,ABRUZZO,NA,PESCASSEROLI,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,PESCINA,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,PESCOCOSTANZO,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,PESCOSANSONESCO,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,PETTORANO SUL GIZIO,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,PIANELLA,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,PICCIANO,Montesilvano
2001-05-13,ABRUZZO,ABRUZZO,NA,PIETRACAMELA,Teramo
2001-05-13,ABRUZZO,ABRUZZO,NA,PIETRAFERRAZZANA,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,PIETRANICO,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,PINETO,Montesilvano
2001-05-13,ABRUZZO,ABRUZZO,NA,PIZZOFERRATO,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,PIZZOLI,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,POGGIO PICENZE,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,POGGIOFIORITO,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,POLLUTRI,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,POPOLI,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,PRATA D'ANSIDONIA,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,PRATOLA PELIGNA,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,PRETORO,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,PREZZA,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,QUADRI,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,RAIANO,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,RAPINO,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,RIPA TEATINA,Chieti
2001-05-13,ABRUZZO,ABRUZZO,NA,RIVISONDOLI,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCA DI BOTTE,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCA DI CAMBIO,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCA DI MEZZO,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCA PIA,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCA SAN GIOVANNI,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCA SANTA MARIA,Teramo
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCACASALE,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCAMONTEPIANO,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCAMORICE,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCARASO,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCASCALEGNA,Lanciano
2001-05-13,ABRUZZO,ABRUZZO,NA,ROCCASPINALVETI,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,ROIO DEL SANGRO,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,ROSCIANO,Ortona
2001-05-13,ABRUZZO,ABRUZZO,NA,ROSELLO,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,ROSETO DEGLI ABRUZZI,Giulianova
2001-05-13,ABRUZZO,ABRUZZO,NA,SALLE,Sulmona
2001-05-13,ABRUZZO,ABRUZZO,NA,SAN BENEDETTO DEI MARSI,Avezzano
2001-05-13,ABRUZZO,ABRUZZO,NA,SAN BENEDETTO IN PERILLIS,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,SAN BUONO,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,SAN DEMETRIO NE' VESTINI,L'Aquila
2001-05-13,ABRUZZO,ABRUZZO,NA,SAN GIOVANNI LIPIONI,Vasto
2001-05-13,ABRUZZO,ABRUZZO,NA,SAN GIOVANNI TEATINO,Chieti
2001-05-13,ABRUZZO,ABRUZZO,NA,SAN MARTINO SULLA MARRUCINA,Ortona
