Election_Date,Circoscrizione,Regione,Provincia,Comune
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ALTINO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ARCHI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ARI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ARIELLI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ATESSA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,BOMBA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,BORRELLO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,BUCCHIANICO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CANOSA SANNITA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CARPINETO SINELLO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CARUNCHIO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CASACANDITELLA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CASALANGUIDA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CASALBORDINO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CASALINCONTRADA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CASOLI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CASTEL FRENTANO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CASTELGUIDONE
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CASTIGLIONE MESSER MARINO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CELENZA SUL TRIGNO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CHIETI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CIVITALUPARELLA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CIVITELLA MESSER RAIMONDO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,COLLEDIMACINE
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,COLLEDIMEZZO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CRECCHIO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,CUPELLO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,DOGLIOLA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FALLO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FARA FILIORUM PETRI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FARA SAN MARTINO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FILETTO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FOSSACESIA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FRAINE
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FRANCAVILLA AL MARE
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FRESAGRANDINARIA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FRISA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,FURCI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,GAMBERALE
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,GESSOPALENA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,GISSI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,GIULIANO TEATINO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,GUARDIAGRELE
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,GUILMI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,LAMA DEI PELIGNI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,LANCIANO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,LENTELLA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,LETTOPALENA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,LISCIA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,MIGLIANICO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,MONTAZZOLI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,MONTEBELLO SUL SANGRO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,MONTEFERRANTE
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,MONTELAPIANO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,MONTENERODOMO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,MONTEODORISIO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,MOZZAGROGNA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ORSOGNA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ORTONA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PAGLIETA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PALENA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PALMOLI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PALOMBARO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PENNADOMO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PENNAPIEDIMONTE
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PERANO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PIETRAFERRAZZANA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PIZZOFERRATO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,POGGIOFIORITO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,POLLUTRI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,PRETORO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,QUADRI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,RAPINO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,RIPA TEATINA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ROCCA SAN GIOVANNI
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ROCCAMONTEPIANO
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ROCCASCALEGNA
2013-02-24,ABRUZZO,ABRUZZO,CHIETI,ROCCASPINALVETI
