Election_Date,Circoscrizione,Regione,Provincia,Comune,Collegio uninominale,Collegio plurinominale
2018-03-04,Abruzzo,Abruzzo,Chieti,ALTINO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ARCHI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ARI,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ARIELLI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ATESSA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,BOMBA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,BORRELLO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,BUCCHIANICO,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CANOSA SANNITA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CARPINETO SINELLO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CARUNCHIO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CASACANDITELLA,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CASALANGUIDA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CASALBORDINO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CASALINCONTRADA,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CASOLI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CASTEL FRENTANO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CASTELGUIDONE,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CASTIGLIONE MESSER MARINO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CELENZA SUL TRIGNO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CHIETI,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CIVITALUPARELLA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CIVITELLA MESSER RAIMONDO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,COLLEDIMACINE,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,COLLEDIMEZZO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CRECCHIO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,CUPELLO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,DOGLIOLA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FALLO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FARA FILIORUM PETRI,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FARA SAN MARTINO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FILETTO,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FOSSACESIA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FRAINE,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FRANCAVILLA AL MARE,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FRESAGRANDINARIA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FRISA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,FURCI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,GAMBERALE,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,GESSOPALENA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,GISSI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,GIULIANO TEATINO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,GUARDIAGRELE,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,GUILMI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,LAMA DEI PELIGNI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,LANCIANO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,LENTELLA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,LETTOPALENA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,LISCIA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,MIGLIANICO,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,MONTAZZOLI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,MONTEBELLO SUL SANGRO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,MONTEFERRANTE,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,MONTELAPIANO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,MONTENERODOMO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,MONTEODORISIO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,MOZZAGROGNA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ORSOGNA,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ORTONA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PAGLIETA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PALENA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PALMOLI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PALOMBARO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PENNADOMO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PENNAPIEDIMONTE,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PERANO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PIETRAFERRAZZANA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PIZZOFERRATO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,POGGIOFIORITO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,POLLUTRI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,PRETORO,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,QUADRI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,RAPINO,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,RIPA TEATINA,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ROCCA SAN GIOVANNI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ROCCAMONTEPIANO,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ROCCASCALEGNA,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ROCCASPINALVETI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ROIO DEL SANGRO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,ROSELLO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SAN BUONO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SAN GIOVANNI LIPIONI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SAN GIOVANNI TEATINO,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SAN MARTINO SULLA MARRUCINA,04 - Chieti,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SAN SALVO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SAN VITO CHIETINO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SANT'EUSANIO DEL SANGRO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SANTA MARIA IMBARO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SCERNI,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,SCHIAVI DI ABRUZZO,05 - Vasto,Abruzzo - 01
2018-03-04,Abruzzo,Abruzzo,Chieti,TARANTA PELIGNA,05 - Vasto,Abruzzo - 01
