Election_Date,Regione,Collegio,Provincia,Comune,Voti_lista,Lista
1972-05-07,CALABRIA,COSENZA,NA,TRENTA,345,DC
1972-05-07,CALABRIA,COSENZA,NA,TRENTA,58,PSI
1972-05-07,CALABRIA,COSENZA,NA,TRENTA,4,PRI
1972-05-07,CALABRIA,COSENZA,NA,TRENTA,12,PSDI
1972-05-07,CALABRIA,COSENZA,NA,ZUMPANO,4,PLI
1972-05-07,CALABRIA,COSENZA,NA,ZUMPANO,278,PCI-PSIUP
1972-05-07,CALABRIA,COSENZA,NA,ZUMPANO,61,MSI
1972-05-07,CALABRIA,COSENZA,NA,ZUMPANO,255,DC
1972-05-07,CALABRIA,COSENZA,NA,ZUMPANO,34,PSI
1972-05-07,CALABRIA,COSENZA,NA,ZUMPANO,0,PRI
1972-05-07,CALABRIA,COSENZA,NA,ZUMPANO,6,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ACCEGLIO,7,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ACCEGLIO,70,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ACCEGLIO,23,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ACCEGLIO,43,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ACCEGLIO,168,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ACCEGLIO,8,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ACCEGLIO,6,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,AISONE,0,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,AISONE,103,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,AISONE,0,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,AISONE,22,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,AISONE,102,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,AISONE,28,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,AISONE,0,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ARGENTERA,5,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ARGENTERA,14,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ARGENTERA,6,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ARGENTERA,5,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ARGENTERA,46,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ARGENTERA,7,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ARGENTERA,4,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BAGNOLO PIEMONTE,32,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BAGNOLO PIEMONTE,553,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BAGNOLO PIEMONTE,321,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BAGNOLO PIEMONTE,177,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BAGNOLO PIEMONTE,1588,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BAGNOLO PIEMONTE,229,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BAGNOLO PIEMONTE,25,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BARGE,35,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BARGE,1061,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BARGE,424,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BARGE,431,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BARGE,2208,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BARGE,118,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BARGE,33,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BELLINO,0,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BELLINO,42,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BELLINO,0,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BELLINO,2,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BELLINO,205,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BELLINO,6,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BELLINO,1,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BERNEZZO,7,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BERNEZZO,234,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BERNEZZO,52,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BERNEZZO,64,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BERNEZZO,783,DC
1972-05-07,CALABRIA,COSENZA,NA,PANETTIERI,162,DC
1972-05-07,CALABRIA,COSENZA,NA,PANETTIERI,29,PSI
1972-05-07,CALABRIA,COSENZA,NA,PANETTIERI,1,PRI
1972-05-07,CALABRIA,COSENZA,NA,PANETTIERI,6,PSDI
1972-05-07,CALABRIA,COSENZA,NA,PARENTI,2,PLI
1972-05-07,CALABRIA,COSENZA,NA,PARENTI,541,PCI-PSIUP
1972-05-07,CALABRIA,COSENZA,NA,PARENTI,43,MSI
1972-05-07,CALABRIA,COSENZA,NA,PARENTI,203,PSI
1972-05-07,CALABRIA,COSENZA,NA,PARENTI,4,PRI
1972-05-07,CALABRIA,COSENZA,NA,PARENTI,3,PSDI
1972-05-07,CALABRIA,COSENZA,NA,PATERNO CALABRO,5,PLI
